Place,Address,IsClosed,Fee,MinFee,MaxFee,Start,End,Latitude,Longitude,Historical,Nature,Religious,Art,Activities,Entertainment,Culture,Image
Cebu Happy World Museum,"Lot 2-A-3, Brgy. Gabi, Cordova, 6007",0,,250,350,9:00:00,20:00:00,10.26156886,123.9591311,0,0,0,1,0,1,0,"/location_images/Cebu_Happy_World_Museum/Cebu_Happy_World_Museum.jpg,/location_images/Cebu_Happy_World_Museum/Cebu_Happy_World_Museum_lhdgX50.jpg,/location_images/Cebu_Happy_World_Museum/Cebu_Happy_World_Museum_RJZQBlS.jpg"
Bagacay Point Lighthouse,"Liloan, 6002 Cebu",0,0,,,0:00:00,0:00:00,10.38332975,124.0185096,1,0,0,0,0,0,0,/location_images/Bagacay_Point_Lighthouse/Bagacay_Point_Lighthouse.jpg
Cebu Metropolitan Cathedral,"6000 Mabini St, Cebu City, 6000 Cebu",0,0,,,8:00:00,17:00:00,10.29557509,123.9029957,1,0,0,0,0,0,1,"/location_images/Cebu_Metropolitan_Cathedral/Cebu_Metropolitan_Cathedral.jpg,/location_images/Cebu_Metropolitan_Cathedral/Cebu_Metropolitan_Cathedral_yKdrFaU.jpg"
D' Family Park,"M. Cuenco Ave., Talamban 6000 Cebu City, Philippines",0,,10,85,5:00:00,19:00:00,10.35850376,123.9107685,0,0,0,0,1,1,0,/location_images/D'_Family_Park/D_Family_Park.png
Crocolandia ,"Burgos St, Talisay, 6045 Cebu",0,,150,200,8:00:00,17:00:00,10.24649799,123.8339545,0,0,0,0,1,1,0,"/location_images/Crocolandia_/Crocolandia_.jpg,/location_images/Crocolandia_/Crocolandia__uGKxQAz.jpg"
Sirao Garden,"Cebu City, 6000 Cebu",0,,80,100,8:00:00,18:00:00,10.40673627,123.86679,0,1,0,0,0,0,0,"/location_images/Sirao_Garden/Sirao_Garden.jpg,/location_images/Sirao_Garden/Sirao_Garden_iFDkRYQ.jpg"
Millennium Park,"Marcelo Fernan Bridge, Lapu-Lapu City, 6015 Cebu",0,0,,,0:00:00,23:59:59,10.32489373,123.9680928,0,0,0,0,1,1,0,"/location_images/Millennium_Park/Millennium_Park.jpg,/location_images/Millennium_Park/Millennium_Park_m9yDGx9.jpg"
Kawasan Falls,"Bayan ng Alegria, Lalawigan ng Cebu",0,,20,40,0:00:00,23:59:59,9.803498766,123.374333,0,1,0,0,0,0,0,"/location_images/Kawasan_Falls/Kawasan_Falls.jpg,/location_images/Kawasan_Falls/Kawasan_Falls_XgkqAu7.jpg"
"Terrazas de Flores Botanical Garden
","Cebu Transcentral Highway 6000 Malubog, Philippines",0,100,,,7:00:00,22:00:00,10.37905442,123.8686863,0,1,0,0,0,0,0,"/location_images/Terrazas_de_Flores_Botanical_Garden/Terrazas_de_Flores_Botanical_Garden.jpg,/location_images/Terrazas_de_Flores_Botanical_Garden/Terrazas_de_Flores_Botanical_Garden_vgQSGsW.jpg"
Genesis Valley,"Cabangahan, Consolacion, 6001 Lalawigan ng Cebu",0,,150,200,8:00:00,17:00:00,10.40137402,123.9317047,0,0,0,0,1,0,0,/location_images/Genesis_Valley/Genesis_Valley.jpg
Cebu Ocean Park,"SM Seaside Complex, F. Vestil St, Cebu City, Cebu",0,550,,,10:00:00,18:00:00,10.281376,123.8785156,0,1,0,0,0,1,0,"/location_images/Cebu_Ocean_Park/Cebu_Ocean_Park.jpg,/location_images/Cebu_Ocean_Park/Cebu_Ocean_Park_MRjSHf0.jpg,/location_images/Cebu_Ocean_Park/Cebu_Ocean_Park_pJ7aA4L.jpg"
Carmelite Monastery,"Pope John Paul II Avenue, Mabolo 6000 Cebu City, Philippines",0,0,,,5:30:00,18:00:00,10.31872802,123.9114729,0,0,1,0,0,0,0,/location_images/Carmelite_Monastery/Carmelite_Monastery.jpg
Virgen de la Regla National Shrine,"B.M. Dimataga St., Poblacion 6015 Lapu-Lapu City, Philippines",0,0,,,0:00:00,23:59:59,10.312532,123.9486724,0,0,1,0,0,0,1,/location_images/Virgen_de_la_Regla_National_Shrine/Virgen_de_la_Regla_National_Shrine.jpg
